transaction_id,customer_id,persona,timestamp,amount,merchant,beneficiary,is_fraud
T0001468,C0043,high_business,2026-01-04 13:48:00.000000000,15152.18,Indigo,payroll,0
T0005039,C0148,high_business,2026-01-04 13:57:00.000000000,13657.63,OfficeSupplies,payroll,0
T0004752,C0140,mid_weekend,2026-01-04 13:58:00.000000000,1767.05,Myntra,self_upi,0
T0001236,C0035,mid_weekend,2026-01-04 14:00:00.000000000,1883.91,BookMyShow,family_upi,0
T0004753,C0140,mid_weekend,2026-01-04 14:49:00.000000000,2662.14,IRCTC,self_upi,0
T0005036,C0148,high_business,2026-01-04 15:20:00.000000000,12715.93,TajHotels,payroll,0
T0001235,C0035,mid_weekend,2026-01-04 15:21:00.000000000,2039.3,Myntra,self_upi,0
T0000711,C0020,mid_weekend,2026-01-04 15:36:00.000000000,2492.13,Zomato,family_upi,0
T0003330,C0098,mid_weekend,2026-01-04 16:46:00.000000000,2716.95,IRCTC,self_upi,0
T0001838,C0053,mid_weekend,2026-01-04 18:21:00.000000000,2319.27,BookMyShow,family_upi,0
T0005109,C0150,low_evening_shopper,2026-01-04 18:24:00.000000000,510.32,Swiggy,self_upi,0
T0005809,C0168,low_evening_shopper,2026-01-04 18:59:00.000000000,2299.61,Amazon,self_upi,0
T0001549,C0045,low_evening_shopper,2026-01-04 19:08:00.000000000,582.53,Swiggy,friend_a,0
T0000763,C0021,low_evening_shopper,2026-01-04 19:50:00.000000000,1046.93,Amazon,self_upi,0
T0000417,C0012,low_evening_shopper,2026-01-04 20:08:00.000000000,590.52,BigBazaar,self_upi,0
T0003076,C0090,low_evening_shopper,2026-01-04 20:12:00.000000000,753.33,NewShop_15,self_upi,0
T0003587,C0105,low_evening_shopper,2026-01-04 21:37:00.000000000,669.08,Amazon,self_upi,0
T0005928,C0171,low_evening_shopper,2026-01-04 22:43:00.000000000,665.13,LocalKirana,self_upi,0
T0001387,C0040,high_business,2026-01-05 07:47:00.000000000,13254.11,AWS,vendor_x,0
T0001471,C0043,high_business,2026-01-05 08:45:00.000000000,10954.87,Indigo,self_neft,0
T0004165,C0121,high_business,2026-01-05 09:03:00.000000000,10345.95,AWS,payroll,0
T0001103,C0031,high_business,2026-01-05 09:10:00.000000000,10534.5,TajHotels,self_neft,0
T0001473,C0043,high_business,2026-01-05 09:34:00.000000000,12257.74,AWS,vendor_x,0
T0001470,C0043,high_business,2026-01-05 10:17:00.000000000,12133.01,AWS,vendor_x,0
T0001388,C0040,high_business,2026-01-05 11:30:00.000000000,15172.08,AWS,self_neft,0
T0006087,C0175,high_business,2026-01-05 12:50:00.000000000,14137.32,OfficeSupplies,vendor_x,0
T0004164,C0121,high_business,2026-01-05 13:01:00.000000000,23273.85,AWS,self_neft,0
T0003535,C0103,high_business,2026-01-05 13:12:00.000000000,11864.19,Indigo,vendor_x,0
T0003331,C0098,mid_weekend,2026-01-05 13:15:00.000000000,2379.32,IRCTC,self_upi,0
T0003534,C0103,high_business,2026-01-05 13:52:00.000000000,30246.32,AWS,payroll,0
T0001900,C0055,high_business,2026-01-05 13:52:00.000000000,14787.43,NewShop_8,self_neft,0
T0004338,C0127,high_business,2026-01-05 13:55:00.000000000,14373.66,TajHotels,vendor_x,0
T0002065,C0061,high_business,2026-01-05 14:12:00.000000000,9386.06,TajHotels,payroll,0
T0001237,C0035,mid_weekend,2026-01-05 14:39:00.000000000,2158.77,Myntra,family_upi,0
T0001102,C0031,high_business,2026-01-05 14:44:00.000000000,32600.78,OfficeSupplies,vendor_x,0
T0003533,C0103,high_business,2026-01-05 14:54:00.000000000,14243.59,AWS,vendor_x,0
T0001472,C0043,high_business,2026-01-05 15:52:00.000000000,13020.33,TajHotels,payroll,0
T0001839,C0053,mid_weekend,2026-01-05 15:57:00.000000000,2004.74,Zomato,family_upi,0
T0003862,C0112,high_business,2026-01-05 16:59:00.000000000,9460.01,OfficeSupplies,payroll,0
T0004637,C0136,high_business,2026-01-05 17:24:00.000000000,15147.08,OfficeSupplies,payroll,0
T0004754,C0140,mid_weekend,2026-01-05 18:24:00.000000000,2547.84,BookMyShow,self_upi,0
T0005232,C0153,low_evening_shopper,2026-01-05 19:09:00.000000000,610.75,NewShop_11,friend_a,0
T0001550,C0045,low_evening_shopper,2026-01-05 19:29:00.000000000,706.38,BigBazaar,friend_a,0
T0000712,C0020,mid_weekend,2026-01-05 19:52:00.000000000,2099.71,BookMyShow,self_upi,0
T0005110,C0150,low_evening_shopper,2026-01-05 20:32:00.000000000,478.35,Amazon,friend_a,0
T0001403,C0041,mid_weekend,2026-01-05 20:41:00.000000000,2674.26,BookMyShow,self_upi,0
T0001915,C0056,mid_weekend,2026-01-05 21:28:00.000000000,2836.45,Myntra,family_upi,0
T0005929,C0171,low_evening_shopper,2026-01-05 21:48:00.000000000,939.88,Amazon,self_upi,0
T0001104,C0031,high_business,2026-01-06 08:13:00.000000000,11165.5,TajHotels,payroll,0
T0001389,C0040,high_business,2026-01-06 08:29:00.000000000,6943.06,OfficeSupplies,payroll,0
T0001903,C0055,high_business,2026-01-06 09:09:00.000000000,12711.02,Indigo,vendor_x,0
T0001305,C0037,high_business,2026-01-06 09:21:00.000000000,47072.37,AWS,self_neft,0
T0001905,C0055,high_business,2026-01-06 09:52:00.000000000,9587.57,TajHotels,vendor_x,0
T0001306,C0037,high_business,2026-01-06 10:01:00.000000000,9385.72,OfficeSupplies,vendor_x,0
T0006092,C0175,high_business,2026-01-06 10:02:00.000000000,13772.48,AWS,self_neft,0
T0006090,C0175,high_business,2026-01-06 10:08:00.000000000,12373.94,Indigo,payroll,0
T0003866,C0112,high_business,2026-01-06 10:12:00.000000000,23972.78,OfficeSupplies,self_neft,0
T0001901,C0055,high_business,2026-01-06 10:45:00.000000000,11834.95,AWS,self_neft,0
T0002066,C0061,high_business,2026-01-06 10:56:00.000000000,17148.77,OfficeSupplies,self_neft,0
T0001840,C0053,mid_weekend,2026-01-06 11:04:00.000000000,2599.7,Myntra,family_upi,0
T0003864,C0112,high_business,2026-01-06 11:07:00.000000000,27582.14,Indigo,payroll,0
T0005720,C0166,high_business,2026-01-06 11:27:00.000000000,14301.08,OfficeSupplies,payroll,0
T0003865,C0112,high_business,2026-01-06 11:34:00.000000000,15956.79,NewShop_38,self_neft,0
T0005040,C0148,high_business,2026-01-06 11:41:00.000000000,5736.02,TajHotels,payroll,0
T0001904,C0055,high_business,2026-01-06 11:44:00.000000000,11154.15,AWS,payroll,0
T0001475,C0043,high_business,2026-01-06 11:55:00.000000000,9712.06,OfficeSupplies,payroll,0
T0001307,C0037,high_business,2026-01-06 12:05:00.000000000,16903.63,AWS,payroll,0
T0006091,C0175,high_business,2026-01-06 12:08:00.000000000,19389.67,Indigo,vendor_x,0
T0001474,C0043,high_business,2026-01-06 12:11:00.000000000,7989.77,Indigo,payroll,0
T0001902,C0055,high_business,2026-01-06 12:13:00.000000000,17472.97,TajHotels,self_neft,0
T0003867,C0112,high_business,2026-01-06 12:19:00.000000000,12669.97,TajHotels,payroll,0
T0003863,C0112,high_business,2026-01-06 12:23:00.000000000,15191.88,AWS,payroll,0
T0004339,C0127,high_business,2026-01-06 12:31:00.000000000,8782.56,OfficeSupplies,vendor_x,0
T0004184,C0122,mid_weekend,2026-01-06 12:54:00.000000000,6191.58,Myntra,self_upi,0
T0006089,C0175,high_business,2026-01-06 12:57:00.000000000,13628.46,AWS,self_neft,0
T0006088,C0175,high_business,2026-01-06 13:08:00.000000000,13863.54,TajHotels,payroll,0
T0005721,C0166,high_business,2026-01-06 13:28:00.000000000,42009.47,TajHotels,vendor_x,0
T0003536,C0103,high_business,2026-01-06 13:42:00.000000000,11824.06,TajHotels,self_neft,0
T0003868,C0112,high_business,2026-01-06 13:53:00.000000000,8318.61,AWS,vendor_x,0
T0004956,C0146,mid_weekend,2026-01-06 15:07:00.000000000,1033.98,Myntra,family_upi,0
T0004463,C0131,mid_weekend,2026-01-06 16:51:00.000000000,2412.52,Myntra,self_upi,0
T0005111,C0150,low_evening_shopper,2026-01-06 18:07:00.000000000,2138.68,Amazon,friend_a,0
T0000282,C0009,low_evening_shopper,2026-01-06 19:29:00.000000000,556.21,LocalKirana,self_upi,0
T0005233,C0153,low_evening_shopper,2026-01-06 19:42:00.000000000,871.9,Amazon,self_upi,0
T0003376,C0099,low_evening_shopper,2026-01-06 19:46:00.000000000,696.96,NewShop_5,self_upi,0
T0005343,C0156,low_evening_shopper,2026-01-06 19:49:00.000000000,575.9,LocalKirana,friend_a,0
T0001238,C0035,mid_weekend,2026-01-06 19:59:00.000000000,3267.37,IRCTC,family_upi,0
T0004957,C0146,mid_weekend,2026-01-06 20:00:00.000000000,3095.2,IRCTC,self_upi,0
T0005810,C0168,low_evening_shopper,2026-01-06 20:01:00.000000000,584.29,BigBazaar,self_upi,0
T0000765,C0021,low_evening_shopper,2026-01-06 20:08:00.000000000,935.88,Amazon,friend_a,0
T0000764,C0021,low_evening_shopper,2026-01-06 20:08:00.000000000,805.33,Amazon,friend_a,0
T0001404,C0041,mid_weekend,2026-01-06 20:11:00.000000000,2408.51,Myntra,self_upi,0
T0004371,C0128,mid_weekend,2026-01-06 20:21:00.000000000,1946.21,NewShop_33,family_upi,0
T0000418,C0012,low_evening_shopper,2026-01-06 20:26:00.000000000,799.86,LocalKirana,self_upi,0
T0004122,C0120,low_evening_shopper,2026-01-06 20:42:00.000000000,1002.41,Amazon,self_upi,0
T0004806,C0141,low_evening_shopper,2026-01-06 21:19:00.000000000,860.82,Amazon,friend_a,0
T0004050,C0117,low_evening_shopper,2026-01-06 21:35:00.000000000,539.76,BigBazaar,friend_a,0
T0001287,C0036,low_evening_shopper,2026-01-06 23:31:00.000000000,902.76,Amazon,self_upi,0
T0002067,C0061,high_business,2026-01-07 08:57:00.000000000,13637.07,Indigo,self_neft,0
T0003869,C0112,high_business,2026-01-07 09:11:00.000000000,12880.42,AWS,vendor_x,0
T0000584,C0016,high_business,2026-01-07 09:37:00.000000000,9832.87,TajHotels,self_neft,0
T0001909,C0055,high_business,2026-01-07 09:51:00.000000000,10298.33,OfficeSupplies,self_neft,0
T0005042,C0148,high_business,2026-01-07 09:55:00.000000000,10053.56,OfficeSupplies,payroll,0
T0001016,C0028,high_business,2026-01-07 10:01:00.000000000,27038.08,TajHotels,vendor_x,0
T0005722,C0166,high_business,2026-01-07 10:03:00.000000000,11169.69,OfficeSupplies,payroll,0
T0001908,C0055,high_business,2026-01-07 10:04:00.000000000,11392.15,OfficeSupplies,vendor_x,0
T0004638,C0136,high_business,2026-01-07 10:18:00.000000000,13272.45,NewShop_3,payroll,0
T0006093,C0175,high_business,2026-01-07 10:21:00.000000000,14726.85,Indigo,vendor_x,0
T0004245,C0124,high_business,2026-01-07 10:23:00.000000000,6569.88,TajHotels,vendor_x,0
T0003870,C0112,high_business,2026-01-07 10:34:00.000000000,11708.54,TajHotels,payroll,0
T0004639,C0136,high_business,2026-01-07 10:59:00.000000000,9170.69,Indigo,payroll,0
T0001017,C0028,high_business,2026-01-07 11:02:00.000000000,12641.37,NewShop_37,payroll,0
T0001405,C0041,mid_weekend,2026-01-07 11:06:00.000000000,2360.75,IRCTC,self_upi,0
T0001906,C0055,high_business,2026-01-07 11:16:00.000000000,11624.61,Indigo,vendor_x,0
T0000586,C0016,high_business,2026-01-07 11:51:00.000000000,11867.11,AWS,vendor_x,0
T0004640,C0136,high_business,2026-01-07 11:54:00.000000000,7871.46,TajHotels,self_neft,0
T0004085,C0118,high_business,2026-01-07 11:57:00.000000000,21991.88,OfficeSupplies,vendor_x,0
T0003104,C0091,high_business,2026-01-07 12:08:00.000000000,12135.81,AWS,payroll,0
T0003105,C0091,high_business,2026-01-07 12:21:00.000000000,13254.61,OfficeSupplies,self_neft,0
T0003537,C0103,high_business,2026-01-07 12:33:00.000000000,18165.28,OfficeSupplies,payroll,0
T0002068,C0061,high_business,2026-01-07 12:40:00.000000000,15674.32,Indigo,self_neft,0
T0005041,C0148,high_business,2026-01-07 12:51:00.000000000,46127.67,OfficeSupplies,payroll,0
T0000585,C0016,high_business,2026-01-07 13:05:00.000000000,8445.68,TajHotels,self_neft,0
T0001910,C0055,high_business,2026-01-07 13:37:00.000000000,11678.9,OfficeSupplies,payroll,0
T0004185,C0122,mid_weekend,2026-01-07 13:38:00.000000000,1921.66,BookMyShow,family_upi,0
T0001018,C0028,high_business,2026-01-07 13:39:00.000000000,10479.13,AWS,payroll,0
T0004958,C0146,mid_weekend,2026-01-07 13:45:00.000000000,2113.86,IRCTC,family_upi,0
T0000487,C0014,mid_weekend,2026-01-07 13:50:00.000000000,2120.05,BookMyShow,family_upi,0
T0000912,C0025,high_business,2026-01-07 13:51:00.000000000,29757.98,AWS,vendor_x,0
T0001390,C0040,high_business,2026-01-07 14:13:00.000000000,9334.17,OfficeSupplies,vendor_x,0
T0004464,C0131,mid_weekend,2026-01-07 14:23:00.000000000,3420.94,Myntra,family_upi,0
T0003122,C0092,mid_weekend,2026-01-07 14:53:00.000000000,3117.52,IRCTC,family_upi,0
T0000610,C0017,mid_weekend,2026-01-07 15:20:00.000000000,2834.44,Zomato,family_upi,0
T0001907,C0055,high_business,2026-01-07 15:40:00.000000000,14083.87,OfficeSupplies,self_neft,0
T0002607,C0077,mid_weekend,2026-01-07 15:47:00.000000000,2410.05,BookMyShow,self_upi,0
T0001239,C0035,mid_weekend,2026-01-07 16:19:00.000000000,2093.92,Myntra,self_upi,0
T0003332,C0098,mid_weekend,2026-01-07 16:21:00.000000000,2541.75,Zomato,self_upi,0
T0000485,C0014,mid_weekend,2026-01-07 16:44:00.000000000,1550.83,BookMyShow,family_upi,0
T0004166,C0121,high_business,2026-01-07 16:56:00.000000000,13611.91,TajHotels,vendor_x,0
T0001240,C0035,mid_weekend,2026-01-07 17:32:00.000000000,2565.22,BookMyShow,self_upi,0
T0000486,C0014,mid_weekend,2026-01-07 17:45:00.000000000,2840.3,Zomato,self_upi,0
T0003888,C0113,mid_weekend,2026-01-07 18:00:00.000000000,2832.8,Myntra,self_upi,0
T0004711,C0138,low_evening_shopper,2026-01-07 18:01:00.000000000,1019.92,BigBazaar,friend_a,0
T0004186,C0122,mid_weekend,2026-01-07 18:36:00.000000000,2230.27,Myntra,self_upi,0
T0004372,C0128,mid_weekend,2026-01-07 18:58:00.000000000,1473.12,IRCTC,self_upi,0
T0001551,C0045,low_evening_shopper,2026-01-07 19:14:00.000000000,657.25,Amazon,self_upi,0
T0003151,C0093,low_evening_shopper,2026-01-07 19:28:00.000000000,859.01,NewShop_36,self_upi,0
T0004807,C0141,low_evening_shopper,2026-01-07 19:33:00.000000000,650.88,Amazon,self_upi,0
T0004312,C0126,low_evening_shopper,2026-01-07 20:01:00.000000000,2694.23,LocalKirana,friend_a,0
T0001167,C0033,low_evening_shopper,2026-01-07 20:27:00.000000000,1981.92,LocalKirana,self_upi,0
T0006130,C0176,mid_weekend,2026-01-07 21:00:00.000000000,1863.54,BookMyShow,self_upi,0
T0003377,C0099,low_evening_shopper,2026-01-07 22:12:00.000000000,964.38,Amazon,friend_a,0
T0001669,C0048,low_evening_shopper,2026-01-07 23:53:00.000000000,799.44,Amazon,friend_a,0
T0003152,C0093,low_evening_shopper,2026-01-08 01:08:00.000000000,717.07,Amazon,friend_a,0
T0004394,C0129,low_evening_shopper,2026-01-08 05:06:00.000000000,836.29,LocalKirana,self_upi,0
T0001019,C0028,high_business,2026-01-08 06:13:00.000000000,11245.22,TajHotels,payroll,0
T0003539,C0103,high_business,2026-01-08 06:31:00.000000000,9245.99,OfficeSupplies,vendor_x,0
T0004171,C0121,high_business,2026-01-08 07:07:00.000000000,11675.31,NewShop_24,vendor_x,0
T0001105,C0031,high_business,2026-01-08 07:40:00.000000000,16495.48,OfficeSupplies,vendor_x,0
T0004169,C0121,high_business,2026-01-08 08:08:00.000000000,8794.87,TajHotels,self_neft,0
T0005616,C0163,high_business,2026-01-08 08:10:00.000000000,10946.11,Indigo,vendor_x,0
T0006095,C0175,high_business,2026-01-08 08:51:00.000000000,9417.6,OfficeSupplies,payroll,0
T0003107,C0091,high_business,2026-01-08 08:58:00.000000000,14268.75,Indigo,vendor_x,0
T0003873,C0112,high_business,2026-01-08 09:10:00.000000000,10324.27,TajHotels,payroll,0
T0004167,C0121,high_business,2026-01-08 09:23:00.000000000,39793.13,Indigo,vendor_x,0
T0006131,C0176,mid_weekend,2026-01-08 09:24:00.000000000,2964.32,NewShop_2,family_upi,0
T0001391,C0040,high_business,2026-01-08 09:25:00.000000000,14802.22,OfficeSupplies,payroll,0
T0000689,C0019,high_business,2026-01-08 09:26:00.000000000,8660.21,OfficeSupplies,vendor_x,0
T0006094,C0175,high_business,2026-01-08 09:38:00.000000000,14228.24,OfficeSupplies,payroll,0
T0005555,C0161,mid_weekend,2026-01-08 09:59:00.000000000,2663.51,BookMyShow,self_upi,0
T0003871,C0112,high_business,2026-01-08 10:01:00.000000000,14572.98,AWS,payroll,0
T0006352,C0055,high_business,2026-01-08 10:09:00.892121066,36936.67,P2P_33,new_wallet_2860,1
T0004341,C0127,high_business,2026-01-08 10:10:00.000000000,7257.15,TajHotels,vendor_x,0
T0001477,C0043,high_business,2026-01-08 10:17:00.000000000,13575.38,TajHotels,vendor_x,0
T0003538,C0103,high_business,2026-01-08 10:18:00.000000000,17164.36,Indigo,vendor_x,0
T0001913,C0055,high_business,2026-01-08 10:20:00.000000000,10315.24,NewShop_11,payroll,0
T0005618,C0163,high_business,2026-01-08 10:27:00.000000000,14338.53,Indigo,payroll,0
T0004641,C0136,high_business,2026-01-08 10:30:00.000000000,12095.54,OfficeSupplies,vendor_x,0
T0004168,C0121,high_business,2026-01-08 10:30:00.000000000,23137.47,AWS,vendor_x,0
T0000690,C0019,high_business,2026-01-08 10:46:00.000000000,10043.17,Indigo,self_neft,0
T0004340,C0127,high_business,2026-01-08 10:49:00.000000000,11353.03,Indigo,payroll,0
T0001914,C0055,high_business,2026-01-08 11:06:00.000000000,41012.19,TajHotels,vendor_x,0
T0000488,C0014,mid_weekend,2026-01-08 11:39:00.000000000,2756.49,Myntra,family_upi,0
T0001476,C0043,high_business,2026-01-08 11:41:00.000000000,11230.84,AWS,self_neft,0
T0006096,C0175,high_business,2026-01-08 11:44:00.000000000,16531.06,AWS,payroll,0
T0005855,C0169,high_business,2026-01-08 11:59:00.000000000,15905.31,Indigo,vendor_x,0
T0000687,C0019,high_business,2026-01-08 12:02:00.000000000,15531.52,AWS,payroll,0
T0000688,C0019,high_business,2026-01-08 12:05:00.000000000,10804.17,AWS,self_neft,0
T0001393,C0040,high_business,2026-01-08 12:08:00.000000000,11462.27,AWS,payroll,0
T0004172,C0121,high_business,2026-01-08 12:11:00.000000000,9992.59,OfficeSupplies,self_neft,0
T0003106,C0091,high_business,2026-01-08 12:22:00.000000000,9625.07,TajHotels,payroll,0
T0005723,C0166,high_business,2026-01-08 12:23:00.000000000,12378.39,TajHotels,payroll,0
T0001912,C0055,high_business,2026-01-08 12:28:00.000000000,10131.2,OfficeSupplies,vendor_x,0
T0001499,C0044,mid_weekend,2026-01-08 12:28:00.000000000,2822.32,Zomato,family_upi,0
T0005854,C0169,high_business,2026-01-08 12:50:00.000000000,8293.59,TajHotels,payroll,0
T0000587,C0016,high_business,2026-01-08 13:05:00.000000000,10942.71,AWS,self_neft,0
T0003874,C0112,high_business,2026-01-08 13:06:00.000000000,16263.23,Indigo,payroll,0
T0003108,C0091,high_business,2026-01-08 13:16:00.000000000,11771.2,TajHotels,vendor_x,0
T0004642,C0136,high_business,2026-01-08 13:19:00.000000000,11740.23,TajHotels,payroll,0
T0001911,C0055,high_business,2026-01-08 13:27:00.000000000,12333.92,AWS,self_neft,0
T0003875,C0112,high_business,2026-01-08 13:27:00.000000000,11182.16,OfficeSupplies,payroll,0
T0001392,C0040,high_business,2026-01-08 13:30:00.000000000,24589.47,TajHotels,vendor_x,0
T0005554,C0161,mid_weekend,2026-01-08 13:38:00.000000000,2171.98,Myntra,self_upi,0
T0004170,C0121,high_business,2026-01-08 13:42:00.000000000,16100.83,Indigo,payroll,0
T0003872,C0112,high_business,2026-01-08 13:46:00.000000000,10079.34,AWS,payroll,0
T0001498,C0044,mid_weekend,2026-01-08 14:07:00.000000000,6247.51,IRCTC,family_upi,0
T0000713,C0020,mid_weekend,2026-01-08 14:28:00.000000000,2339.49,Zomato,self_upi,0
T0004643,C0136,high_business,2026-01-08 14:53:00.000000000,7425.4,NewShop_1,payroll,0
T0005617,C0163,high_business,2026-01-08 15:11:00.000000000,3255.71,OfficeSupplies,self_neft,0
T0004959,C0146,mid_weekend,2026-01-08 15:25:00.000000000,2502.74,BookMyShow,family_upi,0
T0004465,C0131,mid_weekend,2026-01-08 15:34:00.000000000,3264.2,BookMyShow,family_upi,0
T0004755,C0140,mid_weekend,2026-01-08 15:48:00.000000000,2411.12,Zomato,self_upi,0
T0004187,C0122,mid_weekend,2026-01-08 16:08:00.000000000,2598.33,Zomato,self_upi,0
T0001916,C0056,mid_weekend,2026-01-08 17:25:00.000000000,2404.73,IRCTC,family_upi,0
T0000420,C0012,low_evening_shopper,2026-01-08 17:30:00.000000000,2669.32,Amazon,friend_a,0
T0001917,C0056,mid_weekend,2026-01-08 17:35:00.000000000,4859.29,Myntra,self_upi,0
T0004960,C0146,mid_weekend,2026-01-08 17:37:00.000000000,3131.85,Zomato,self_upi,0
T0001497,C0044,mid_weekend,2026-01-08 17:46:00.000000000,3033.99,Zomato,self_upi,0
T0003333,C0098,mid_weekend,2026-01-08 17:49:00.000000000,2613.18,BookMyShow,self_upi,0
T0005556,C0161,mid_weekend,2026-01-08 17:58:00.000000000,1860.77,IRCTC,family_upi,0
T0003889,C0113,mid_weekend,2026-01-08 18:01:00.000000000,2562.6,Zomato,family_upi,0
T0004373,C0128,mid_weekend,2026-01-08 18:35:00.000000000,6033.13,Myntra,family_upi,0
T0003588,C0105,low_evening_shopper,2026-01-08 18:44:00.000000000,917.65,Amazon,self_upi,0
T0000167,C0005,mid_weekend,2026-01-08 18:58:00.000000000,2021.85,BookMyShow,family_upi,0
T0004313,C0126,low_evening_shopper,2026-01-08 19:16:00.000000000,634.34,Amazon,friend_a,0
T0000419,C0012,low_evening_shopper,2026-01-08 19:21:00.000000000,486.09,LocalKirana,friend_a,0
T0005811,C0168,low_evening_shopper,2026-01-08 19:47:00.000000000,579.87,BigBazaar,friend_a,0
T0000766,C0021,low_evening_shopper,2026-01-08 20:08:00.000000000,796.48,Amazon,self_upi,0
T0000283,C0009,low_evening_shopper,2026-01-08 20:08:00.000000000,640.21,LocalKirana,self_upi,0
T0001995,C0059,mid_weekend,2026-01-08 20:55:00.000000000,2645.78,Zomato,self_upi,0
T0003123,C0092,mid_weekend,2026-01-08 21:12:00.000000000,2354.46,Myntra,family_upi,0
T0005234,C0153,low_evening_shopper,2026-01-08 21:24:00.000000000,504.02,Swiggy,friend_a,0
T0003077,C0090,low_evening_shopper,2026-01-08 21:47:00.000000000,448.15,NewShop_18,friend_a,0
T0004222,C0123,low_evening_shopper,2026-01-08 22:08:00.000000000,316.41,LocalKirana,friend_a,0
T0004123,C0120,low_evening_shopper,2026-01-08 22:33:00.000000000,961.6,BigBazaar,self_upi,0
T0002245,C0066,low_evening_shopper,2026-01-08 22:34:00.000000000,532.85,Swiggy,self_upi,0
